id_questao,,pergunta,texto_alternativa_certa
M1_Q09,1,Qual e a principal funcao dos paradigmas de linguagens de programacao?,b,Definir a sintaxe de uma linguagem.,Guiar o design das linguagens de programacao.,Determinar a velocidade de execucao do codigo.,Avaliar o desempenho de um programador.,Organizar a equipe de desenvolvimento.
M1_Q10,1,De acordo com o material por que e importante estudar paradigmas de linguagens de programacao?,d,Porque todas as linguagens de programacao seguem o mesmo paradigma.,Para focar apenas em linguagens populares como Python e Java.,Para provar que ja se sabe programar.,Para aumentar o arsenal de ferramentas para resolver problemas e atender as exigencias do mercado.,Porque o mercado tem exigido que os desenvolvedores dominem apenas um paradigma.
M1_Q06,1,No experimento dos macacos o que a comunidade de macacos passou a fazer para evitar o castigo?,b,Eles trabalharam em equipe para pegar as bananas.,Eles espancavam qualquer macaco que tentasse subir na escada.,Eles se esconderam do dispositivo de agua.,Eles sabotaram a escada.,Eles criaram uma nova escada.
M1_Q08,1,O que o ""Paradigma Cartesiano"" se baseia?,a,Na visao mecanicista do conhecimento dividindo o todo em partes.,No uso de linguagens de programacao declarativas.,Na uniao de todas as partes para entender o todo.,Na visao puramente funcional da programacao.,No artigo 461 da CLT.
M1_Q04,1,Qual e o nome completo da disciplina apresentada?,c,Principios de Linguagens de Programacao.,Programacao de Linguagens Puras.,Paradigmas de Linguagens de Programacao.,Programacao Logica e Funcional.,Plataformas de Linguagens de Programacao.
M1_Q05,1,Na analogia dos macacos o que acontecia toda vez que um macaco tentava subir na escada?,a,Jorrava agua gelada sobre os demais macacos.,Ele era premiado com bananas.,Ele era isolado dos outros macacos.,A gaiola era aberta.,Os cientistas removiam a escada.
M1_Q05,1,Na analogia dos macacos o que acontecia toda vez que um macaco tentava subir na escada?,a,Jorrava agua gelada sobre os demais macacos.,Ele era premiado com bananas.,Ele era isolado dos outros macacos.,A gaiola era aberta.,Os cientistas removiam a escada.
M1_Q09,1,Qual e a principal funcao dos paradigmas de linguagens de programacao?,b,Definir a sintaxe de uma linguagem.,Guiar o design das linguagens de programacao.,Determinar a velocidade de execucao do codigo.,Avaliar o desempenho de um programador.,Organizar a equipe de desenvolvimento.
M1_Q05,1,Na analogia dos macacos o que acontecia toda vez que um macaco tentava subir na escada?,a,Jorrava agua gelada sobre os demais macacos.,Ele era premiado com bananas.,Ele era isolado dos outros macacos.,A gaiola era aberta.,Os cientistas removiam a escada.
M1_Q04,1,Qual e o nome completo da disciplina apresentada?,c,Principios de Linguagens de Programacao.,Programacao de Linguagens Puras.,Paradigmas de Linguagens de Programacao.,Programacao Logica e Funcional.,Plataformas de Linguagens de Programacao.
M1_Q07,1,Qual o principal objetivo da disciplina conforme o material?,e,Aprender a programar em Haskell.,Dominar apenas os paradigmas Python e Java.,Criar projetos de software complexos.,Analisar a historia das linguagens de programacao.,Estudar os principais conceitos e paradigmas que dao origem a diferentes estilos de programacao.
M1_Q02,1,Em que universidade o professor Everton L. G. Alves obteve sua graduacao mestrado e doutorado?,c,Universidade de Sao Paulo (USP).,University of Texas in Austin.,Universidade Federal de Campina Grande (UFCG).,Universidade Estadual da Paraiba (UEPB).,Massachusetts Institute of Technology (MIT).
M1_Q01,1,De acordo com o material qual e o nome completo do professor responsavel pela disciplina?,b,Everton L. G. Ribeiro.,Everton L. G. Alves.,Everton G. Alves.,Everton L. Alves.,Everton de G. Alves.
M1_Q03,1,Segundo a definicao apresentada no material o que e um "paradigma"?,d,Uma tecnica de programacao avancada.,Um tipo de linguagem de programacao.,Um metodo de avaliacao de software.,Um modelo ou padrao a ser seguido.,Um conjunto de regras gramaticais de uma linguagem.
M1_Q01,1,De acordo com o material qual e o nome completo do professor responsavel pela disciplina?,b,Everton L. G. Ribeiro.,Everton L. G. Alves.,Everton G. Alves.,Everton L. Alves.,Everton de G. Alves.
M1_Q04,1,Qual e o nome completo da disciplina apresentada?,c,Principios de Linguagens de Programacao.,Programacao de Linguagens Puras.,Paradigmas de Linguagens de Programacao.,Programacao Logica e Funcional.,Plataformas de Linguagens de Programacao.
M1_Q05,1,Na analogia dos macacos o que acontecia toda vez que um macaco tentava subir na escada?,a,Jorrava agua gelada sobre os demais macacos.,Ele era premiado com bananas.,Ele era isolado dos outros macacos.,A gaiola era aberta.,Os cientistas removiam a escada.
M1_Q02,1,Em que universidade o professor Everton L. G. Alves obteve sua graduacao mestrado e doutorado?,c,Universidade de Sao Paulo (USP).,University of Texas in Austin.,Universidade Federal de Campina Grande (UFCG).,Universidade Estadual da Paraiba (UEPB).,Massachusetts Institute of Technology (MIT).
M1_Q09,1,Qual e a principal funcao dos paradigmas de linguagens de programacao?,b,Definir a sintaxe de uma linguagem.,Guiar o design das linguagens de programacao.,Determinar a velocidade de execucao do codigo.,Avaliar o desempenho de um programador.,Organizar a equipe de desenvolvimento.
M1_Q08,1,O que o ""Paradigma Cartesiano"" se baseia?,a,Na visao mecanicista do conhecimento dividindo o todo em partes.,No uso de linguagens de programacao declarativas.,Na uniao de todas as partes para entender o todo.,Na visao puramente funcional da programacao.,No artigo 461 da CLT.
M1_Q03,1,Segundo a definicao apresentada no material o que e um "paradigma"?,d,Uma tecnica de programacao avancada.,Um tipo de linguagem de programacao.,Um metodo de avaliacao de software.,Um modelo ou padrao a ser seguido.,Um conjunto de regras gramaticais de uma linguagem.
M1_Q07,1,Qual o principal objetivo da disciplina conforme o material?,e,Aprender a programar em Haskell.,Dominar apenas os paradigmas Python e Java.,Criar projetos de software complexos.,Analisar a historia das linguagens de programacao.,Estudar os principais conceitos e paradigmas que dao origem a diferentes estilos de programacao.
M1_Q10,1,De acordo com o material por que e importante estudar paradigmas de linguagens de programacao?,d,Porque todas as linguagens de programacao seguem o mesmo paradigma.,Para focar apenas em linguagens populares como Python e Java.,Para provar que ja se sabe programar.,Para aumentar o arsenal de ferramentas para resolver problemas e atender as exigencias do mercado.,Porque o mercado tem exigido que os desenvolvedores dominem apenas um paradigma.
M1_Q05,1,Na analogia dos macacos o que acontecia toda vez que um macaco tentava subir na escada?,a,Jorrava agua gelada sobre os demais macacos.,Ele era premiado com bananas.,Ele era isolado dos outros macacos.,A gaiola era aberta.,Os cientistas removiam a escada.
M1_Q04,1,Qual e o nome completo da disciplina apresentada?,c,Principios de Linguagens de Programacao.,Programacao de Linguagens Puras.,Paradigmas de Linguagens de Programacao.,Programacao Logica e Funcional.,Plataformas de Linguagens de Programacao.
M1_Q01,1,De acordo com o material qual e o nome completo do professor responsavel pela disciplina?,b,Everton L. G. Ribeiro.,Everton L. G. Alves.,Everton G. Alves.,Everton L. Alves.,Everton de G. Alves.
M1_Q10,1,De acordo com o material por que e importante estudar paradigmas de linguagens de programacao?,d,Porque todas as linguagens de programacao seguem o mesmo paradigma.,Para focar apenas em linguagens populares como Python e Java.,Para provar que ja se sabe programar.,Para aumentar o arsenal de ferramentas para resolver problemas e atender as exigencias do mercado.,Porque o mercado tem exigido que os desenvolvedores dominem apenas um paradigma.
M1_Q03,1,Segundo a definicao apresentada no material o que e um "paradigma"?,d,Uma tecnica de programacao avancada.,Um tipo de linguagem de programacao.,Um metodo de avaliacao de software.,Um modelo ou padrao a ser seguido.,Um conjunto de regras gramaticais de uma linguagem.
M1_Q06,1,No experimento dos macacos o que a comunidade de macacos passou a fazer para evitar o castigo?,b,Eles trabalharam em equipe para pegar as bananas.,Eles espancavam qualquer macaco que tentasse subir na escada.,Eles se esconderam do dispositivo de agua.,Eles sabotaram a escada.,Eles criaram uma nova escada.
M1_Q08,1,O que o ""Paradigma Cartesiano"" se baseia?,a,Na visao mecanicista do conhecimento dividindo o todo em partes.,No uso de linguagens de programacao declarativas.,Na uniao de todas as partes para entender o todo.,Na visao puramente funcional da programacao.,No artigo 461 da CLT.
M1_Q09,1,Qual e a principal funcao dos paradigmas de linguagens de programacao?,b,Definir a sintaxe de uma linguagem.,Guiar o design das linguagens de programacao.,Determinar a velocidade de execucao do codigo.,Avaliar o desempenho de um programador.,Organizar a equipe de desenvolvimento.
M1_Q02,1,Em que universidade o professor Everton L. G. Alves obteve sua graduacao mestrado e doutorado?,c,Universidade de Sao Paulo (USP).,University of Texas in Austin.,Universidade Federal de Campina Grande (UFCG).,Universidade Estadual da Paraiba (UEPB).,Massachusetts Institute of Technology (MIT).
M1_Q07,1,Qual o principal objetivo da disciplina conforme o material?,e,Aprender a programar em Haskell.,Dominar apenas os paradigmas Python e Java.,Criar projetos de software complexos.,Analisar a historia das linguagens de programacao.,Estudar os principais conceitos e paradigmas que dao origem a diferentes estilos de programacao.
